Marker_ID,ArcGIS Longitude,ArcGIS Latitude,USACE_ID
AC01,-83.8733,34.33449,127
AC02,-83.8706,34.33811,125
AC03,-83.8635,34.3323,123
AC04,-83.8613584,34.32959371,122
BA01,-83.9261,34.2501,318
BA02,-83.9246,34.2465,317
BA03,-83.9253,34.2455,316
BA04,-83.924,34.243,314
BA05,-83.9197,34.2528,309
BC02,-84.0135,34.1846,487
BC03,-84.0004,34.1768,480
BC04,-83.9852,34.1675,453
BC05,-83.9852,34.1725,448
BC06,-83.9868,34.1742,446
BC07,-83.986,34.1776,445
BC08,-83.9928,34.1759,443
BC09,-83.9946,34.1771,442
BC10,-84.0038,34.1813,485
BC11,-84.0136,34.1813,486
BR01,-84.0699,34.1809,864
BR02,-84.0764,34.1909,863
BR03,-84.0813,34.2066,858
BR04,-84.0826,34.2113,857
BR05,-84.0835,34.2096,856
BR06,-84.0838,34.2068,851
BR07,-84.0901,34.2052,847
BR08,-84.0913,34.2059,846
BR09,-84.1043,34.2047,834
BR10,-84.105,34.2001,833
BR11,-84.0908,34.1976,796
BR12,-84.0855,34.1947,794
BR13,-84.0824,34.1913,791
BR14,-84.0863,34.1903,793
BR15,-84.0741,34.1865,885
BR16,-84.0742,34.1734,786
BR16B,-84.0703,34.17,777
BR17,-84.0645,34.1725,884
CH01,-83.9497,34.3292,197
CH02,-83.9593,34.3324,195
CH03,-83.955,34.338,189
CH04,-83.9638,34.3445,204
CH05,-83.9687,34.3404,205
CH06,-83.9889,34.3588,215
CH07,-83.9864,34.3588,216
CH08,-83.9861,34.3615,217
CH09,-83.9401,34.2813,275
CH10,-83.9401,34.2865,272
CH11,-83.9381,34.288,271
CH12,-83.9405,34.2896,270
CH13,-83.9415,34.2889,269
CH14,-83.9387,34.2951,247
CH15,-83.9379,34.2947,246
CH16,-83.9374,34.2956,245
CH17,-83.943,34.2977,248
CH18,-83.9456,34.2941,268
CH19,-83.9474,34.2971,267
CH20,-83.9462,34.3022,265
CH21,-83.9468,34.3029,266
CH22,-83.9384,34.31065,256
CH23,-83.9369,34.30797,255
CH24,-83.9412,34.30937,258
CH25,-83.954,34.31989,203
CH26,-83.9439,34.32929,172
CH27,-83.979,34.35859,218
CH28,-83.932,34.29248,241
CH29,-83.9303,34.29296,240
CH30,-83.9294,34.30598,243
CH31,-83.9235,34.30649,244
CH32,-83.978,34.363,219
CH33,-83.977,34.395,223
CR01,-83.9776,34.2243,610
CR02,-83.9783,34.2222,609
CR03,-83.9869,34.2159,607
CR04,-83.9907,34.2083,602
CR05,-83.9892,34.2069,603
CR06,-83.9919,34.2074,601
CR07,-83.9955,34.2061,600
CR08,-83.9963,34.2052,599
CR09,-84.0086,34.1978,594
CR10,-84.01,34.1963,592
CR12,-84.0373,34.1864,1162
CR13,-84.0517,34.18,408
CR15,-84.0489,34.1722,405
CR16,-84.0468,34.1696,403
CR17,-83.9821,34.2118,605
CR18,-83.9567,34.2423,613
CR19,-83.9562,34.2425,614
CR20,-83.9587,34.2423,612
CR21,-84.0474,34.1964,680
CR22,-84.047,34.197,679
CR23,-84.046,34.198,681
CR24,-84.052,34.1815,409
CR25,-84.052,34.1782,1223
CR26,-84.0513,34.1779,407
CR27,-84.0516,34.178,1222
CR27B,-84.0203,34.188,918
CR28,-84.0204,34.1878,488
CR29,-84.0326,34.1891,498
CR30,-84.0343,34.1884,499
CR31,-84.0352,34.1878,500
CR32,-84.0379,34.187,503
CR33,-84.0375,34.1866,502
CR34,-83.9872,34.2149,608
CR35,-83.9859,34.2159,606
CR40,-83.9509,34.2686,273
CR41,-83.946,34.2765,281
CR42,-83.945,34.2773,282
CR43,-83.9431,34.2788,279
CR44,-83.9409,34.2775,280
CR45,-83.951486,34.268536,1224
CR46,-83.9183,34.2861,128
CR47,-83.9089,34.285,129
CR48,-83.921,34.2849,235
CR49,-83.9233,34.2847,236
CR50,-83.9247,34.2793,234
CR51,-83.9294,34.2771,233
CR52,-83.9319,34.2757,232
CR53,-83.9324,34.2814,274
CR54,-83.9249,34.2896,237
CR55,-83.9205,34.2912,171
CR56,-83.9189,34.2909,170
CR57,-83.9179,34.2941,168
CR58,-83.9187,34.2929,169
CR59,-83.9065,34.2978,163
CR60,-83.9029,34.2977,162
CR61,-83.8985,34.3014,160
CR62,-83.8809,34.305,142
CR63,-83.8804,34.3014,141
CR64,-83.8805,34.2999,139
CR65,-83.8888,34.2987,136
CR66,-83.8895,34.2982,135
CR67,-83.887157,34.304936,156
CR68,-83.858325,34.3434,116
CR69,-83.856894,34.346176,115
CR70,-83.814901,34.349466,101
CR71,-83.804182,34.357187,102
CR72,-83.803717,34.357225,103
CR73,-83.802652,34.357049,104
FB01,-83.989,34.1881,436
FB02,-83.9864,34.1865,435
FB03,-83.9744,34.1893,415
FB04,-83.9658,34.1858,413
FB05,-83.9639,34.1883,411
FB06,-83.9513,34.1884,580
FB07,-83.9584,34.1977,571
FB08,-83.9765,34.2023,548
FB09,-83.9776,34.2017,551
FB10,-83.9783,34.2012,552
FB11,-83.9795,34.2005,553
FB12,-83.9794,34.2013,555
FB13,-83.9819,34.2009,556
FB15,-83.9805,34.2012,554
FB16,-83.9769,34.2023,549
FB17,-83.9775,34.2031,550
FB18,-83.9762,34.1883,416
FC01,-83.9471,34.2526,620
FC02,-83.9454,34.2527,622
FC03,-83.9475,34.2507,621
FC04,-83.9381,34.2436,320
FC05,-83.9404,34.2414,323
FC06,-83.9388,34.2437,319
FC07,-83.9188,34.2586,308
FC08,-83.922,34.2595,627
FC09,-83.9265,34.2557,626
FC10,-83.9382,34.2561,623
FC11,-83.9471,34.2528,619
FM01,-84.0065,34.2207,719
FM02,-84.0102,34.2225,721
LC01,-83.9442,34.33211,184
LC02,-83.9367,34.33873,183
LC03,-83.9263,34.3375,173
LC04,-83.9244,34.3427,174
LC05,-83.9124,34.34104,175
LC06,-83.9118,34.34086,177
LC07,-83.9213,34.34399,178
LC08,-83.9227,34.34559,179
LC09,-83.9294,34.34445,181
LC10,-83.937,34.34552,182
LR01,-83.842507,34.345283,68
LR02,-83.843112,34.352365,65
LR03,-83.843757,34.352424,64
LR04,-83.843967,34.351262,62
LR05,-83.839994,34.3536,66
LR06,-83.843703,34.353852,67
LR07,-83.82023,34.369968,75
LR08,-83.81177,34.370435,72
MC01,-83.9446,34.2246,357
MC02,-83.9423,34.2253,356
MC03,-83.9423,34.2255,355
MC04,-83.9433,34.2269,358
MC05,-83.9402,34.2305,346
MC06,-83.939,34.2298,344
MC07,-83.9441,34.2406,324
MC08,-83.9485,34.2364,883
MC09,-83.9468,34.2292,360
MC10,-83.946,34.2287,359
MC11,-83.9394,34.2301,345
MC12,-83.9388,34.2293,343
MC13,-83.9555,34.2253,512
MC14,-83.9532,34.2251,510
MC15,-83.9551,34.22513,511
OC01,-83.9525,34.2096,531
OC02,-83.9463,34.2095,530
OC03,-83.9483,34.2099,529
OC04,-83.9477,34.2102,528
OC05,-83.9488,34.2161,527
OC06,-83.9686,34.21314,542
OF01,-83.9613,34.2237,515
OF02,-83.9635,34.2269,516
OF03,-83.9605,34.2235,514
OF04,-83.957,34.2257,513
OF05,-83.9558,34.228,508
OF06,-83.9536,34.2266,509
OF07,-83.9535,34.2285,507
OF08,-83.9533,34.2293,506
OF09,-83.9539,34.2304,505
OF10,-83.960124,34.222879,1225
SC01,-84.0535,34.1628,675
SC02,-84.058,34.1544,672
SC03,-84.0372,34.163,362
SC04,-84.0353,34.1621,363
SC06,-84.0484,34.1698,404
SC07,-84.0418,34.1677,402
SC08,-84.0153,34.1712,389
SH02,-83.9684,34.2765,284
SH03,-83.9714,34.2736,294
SH04,-83.9693,34.2716,295
SH05,-83.9696,34.2713,296
SH06,-83.9702,34.2711,297
SH07,-83.9691,34.2709,298
SH08,-83.9711,34.2691,299
SH09,-83.9647,34.2658,302
SH10,-83.9648,34.2653,303
SH11,-83.9599,34.2674,306
SM01,-84.0294,34.1974,730
SM02,-84.0288,34.2084,691
SM03,-84.0279,34.2081,692
SM04,-84.0223,34.2161,699
SM05,-84.0237,34.218,698
SM06,-84.030087,34.207893,689
SM07,-84.0294,34.2088,690
SM10,-84.0377,34.2017,685
TC01,-83.9659,34.3284,201
TC02,-83.9577,34.3264,199
TC03,-83.9586,34.3307,196
TC04,-83.9609,34.32971,200
TC05,-83.999,34.356,212
TC06,-83.997,34.358,214
TC07,-84.009,34.356,211
TM01,-84.0231,34.199,729
TM02,-84.0124,34.2104,725
TM03,-83.9867,34.2254,638
TM04,-83.9917,34.2226,634
TM05,-83.9964,34.2216,633
TM07,-84.0056,34.216,629
TM08,-84.0112,34.2142,723
TM09,-84.0139,34.2124,724
TM10,-84.0106,34.1996,595
TM11,-84.0065,34.2033,596
TM12,-84.0032,34.2038,598
TM13,-83.9988,34.2118,659
TM14,-84.0191,34.2082,695
TM15,-83.9995,34.2197,632
TM16,-83.9904,34.2195,635
TM17,-83.9995,34.2204,631
TM18,-84.0118,34.2109,726
TM19,-84.0189,34.2087,694
